bit_position,error_probability
313,0.025
314,0.025
315,0.0
316,0.0
317,0.025
318,0.0
319,0.05
320,0.025
321,0.05
322,0.0
323,0.05
324,0.05
325,0.0
326,0.05
327,0.025
328,0.0
329,0.025
330,0.0
331,0.0
332,0.025
333,0.0
334,0.05
335,0.0
336,0.05
337,0.025
338,0.075
339,0.025
340,0.05
341,0.05
342,0.0
343,0.05
344,0.05
345,0.0
346,0.025
347,0.05
348,0.025
349,0.0
350,0.05
351,0.1
352,0.05
353,0.05
354,0.025
355,0.025
356,0.05
357,0.05
358,0.0
359,0.0
360,0.0
361,0.025
362,0.0
363,0.025
364,0.05
365,0.075
366,0.0
367,0.0
368,0.05
369,0.025
370,0.0
371,0.0
372,0.0
373,0.075
374,0.05
375,0.025
376,0.0
377,0.075
378,0.025
379,0.0
380,0.025
381,0.05
382,0.025
383,0.025
384,0.025
385,0.0
386,0.0
387,0.025
388,0.025
389,0.025
390,0.0
391,0.0
392,0.075
393,0.05
394,0.025
395,0.025
396,0.0
397,0.05
398,0.0
399,0.075
400,0.0
401,0.025
402,0.0
403,0.0
404,0.05
405,0.05
406,0.05
407,0.0
408,0.0
409,0.05
410,0.025
411,0.0
412,0.05
413,0.0
414,0.05
415,0.0
416,0.0
417,0.05
418,0.05
419,0.025
420,0.05
421,0.05
422,0.025
423,0.025
424,0.025
425,0.025
426,0.0
427,0.025
428,0.0
429,0.05
430,0.05
431,0.0
432,0.0
433,0.025
434,0.05
435,0.025
436,0.025
437,0.0
438,0.0
439,0.05
440,0.025
441,0.025
442,0.0
443,0.0
444,0.025
445,0.0
446,0.05
447,0.075
448,0.0
449,0.0
450,0.025
451,0.025
452,0.025
453,0.025
454,0.025
455,0.05
456,0.025
457,0.025
458,0.075
459,0.025
460,0.05
461,0.0
462,0.0
463,0.025
464,0.025
465,0.025
466,0.0
467,0.0
468,0.0
469,0.05
470,0.0
471,0.025
472,0.0
473,0.025
474,0.025
475,0.075
476,0.025
477,0.025
478,0.025
479,0.025
480,0.0
481,0.05
482,0.0
483,0.0
484,0.0
485,0.025
486,0.05
487,0.025
488,0.0
489,0.025
490,0.025
491,0.025
492,0.1
493,0.05
494,0.05
495,0.025
496,0.075
497,0.025
498,0.05
499,0.0
500,0.025
501,0.075
502,0.075
503,0.025
504,0.05
505,0.0
506,0.025
507,0.05
508,0.0
509,0.025
510,0.0
511,0.1
