bit_position,error_probability
282,0.05
283,0.0
284,0.0
285,0.075
286,0.025
287,0.0
288,0.0
289,0.0
290,0.075
291,0.025
292,0.0
293,0.0
294,0.05
295,0.075
296,0.025
297,0.05
298,0.025
299,0.025
300,0.05
301,0.05
302,0.0
303,0.075
304,0.0
305,0.05
306,0.0
307,0.05
308,0.025
309,0.025
310,0.05
311,0.025
312,0.025
313,0.025
314,0.025
315,0.025
316,0.025
317,0.025
318,0.025
319,0.05
320,0.025
321,0.05
322,0.025
323,0.025
324,0.025
325,0.05
326,0.0
327,0.05
328,0.025
329,0.025
330,0.0
331,0.025
332,0.025
333,0.0
334,0.0
335,0.0
336,0.025
337,0.0
338,0.025
339,0.1
340,0.125
341,0.025
342,0.0
343,0.0
344,0.0
345,0.05
346,0.05
347,0.025
348,0.05
349,0.05
350,0.05
351,0.05
352,0.0
353,0.0
354,0.025
355,0.025
356,0.0
357,0.125
358,0.05
359,0.025
360,0.0
361,0.075
362,0.075
363,0.0
364,0.025
365,0.075
366,0.025
367,0.075
368,0.025
369,0.05
370,0.025
371,0.025
372,0.025
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.025
380,0.075
381,0.025
382,0.0
383,0.025
384,0.0
385,0.05
386,0.025
387,0.05
388,0.025
389,0.025
390,0.025
391,0.0
392,0.0
393,0.05
394,0.025
395,0.025
396,0.075
397,0.05
398,0.05
399,0.0
400,0.0
401,0.025
402,0.0
403,0.025
404,0.0
405,0.1
406,0.0
407,0.075
408,0.05
409,0.025
410,0.0
411,0.025
412,0.0
413,0.025
414,0.025
415,0.1
416,0.025
417,0.0
418,0.025
419,0.025
420,0.025
421,0.025
422,0.025
423,0.0
424,0.025
425,0.0
426,0.025
427,0.0
428,0.05
429,0.025
430,0.0
431,0.025
432,0.025
433,0.025
434,0.075
435,0.05
436,0.05
437,0.025
438,0.05
439,0.025
440,0.025
441,0.025
442,0.05
443,0.0
444,0.075
445,0.05
446,0.0
447,0.0
448,0.075
449,0.05
450,0.025
451,0.05
452,0.025
453,0.025
454,0.025
455,0.05
456,0.0
457,0.05
458,0.0
459,0.0
460,0.05
461,0.05
462,0.0
463,0.05
464,0.05
465,0.025
466,0.0
467,0.05
468,0.025
469,0.075
470,0.0
471,0.0
472,0.075
473,0.025
474,0.05
475,0.025
476,0.05
477,0.025
478,0.075
479,0.05
480,0.025
481,0.025
482,0.05
483,0.05
484,0.0
485,0.025
486,0.025
487,0.05
488,0.0
489,0.025
490,0.0
491,0.025
492,0.075
493,0.0
494,0.025
495,0.025
496,0.0
497,0.0
498,0.025
499,0.075
500,0.05
501,0.0
502,0.025
503,0.025
504,0.075
505,0.075
506,0.025
507,0.075
508,0.025
509,0.05
510,0.025
511,0.0
